symbol,date,total_oi,spec_long,spec_short,hedge_long,hedge_short,price
GC,2026-04-21,365842,123681,30705,12633,33051,4740.9
GC,2026-04-28,369530,122257,32505,12985,33177,4644.5
GC,2026-05-05,367932,123353,29099,12898,32010,4730.7
GC,2026-05-12,376496,127242,29227,11437,31639,4561.9
GC,2026-05-19,379325,122894,29354,14800,32714,4523.2
GC,2026-05-26,353489,124277,26831,12586,32096,4593
GC,2026-06-02,326052,129367,17188,10275,30429,4365.3
GC,2026-06-09,332709,126280,20417,10833,30133,4238.8
GC,2026-06-16,339330,128043,14322,12191,29238,4245.9
GC,2026-06-23,352167,131102,15707,15839,25175,4096.3
GC,2026-06-30,369541,134577,14486,15161,32207,4125.7
GC,2026-07-07,371776,134941,18780,14282,35268,4113.7
GC,2026-07-14,383689,136905,16126,15840,34989,4018.8
GC,2026-07-21,383368,141487,16656,15561,34882,4070.8
GC,2026-07-28,384603,135093,15298,15367,35916,4107
GC,2026-08-04,371551,139809,9043,15738,34594,4399.7
SI,2026-04-21,115462,13354,4486,2791,19208,76.415
SI,2026-04-28,101275,14576,3970,1497,19607,76.43
SI,2026-05-05,96932,15697,4854,1578,19191,80.865
SI,2026-05-12,103800,21191,5430,1437,21069,77.545
SI,2026-05-19,100751,17944,6380,1902,21195,76.2
SI,2026-05-26,101744,16670,6615,1412,20957,75.875
SI,2026-06-02,102809,17047,6603,2140,20133,69.105
SI,2026-06-09,103440,16336,5933,3740,20399,67.975
SI,2026-06-16,107721,18739,5854,3662,20274,66.32
SI,2026-06-23,108944,17559,5818,4627,18349,59.225
SI,2026-06-30,108964,19349,5567,5108,17379,61.065
SI,2026-07-07,104859,19294,6093,5069,18425,60.165
SI,2026-07-14,105023,17554,6053,5548,18256,56.325
SI,2026-07-21,106410,18204,6922,5623,18667,58.905
SI,2026-07-28,106719,17939,8757,5958,18987,57.785
SI,2026-08-04,111999,20465,8491,6151,19231,63.500
ES,2026-04-21,1963317,124833,537154,122778,841407,7194.75
ES,2026-04-28,1959933,120508,527998,127669,833209,7258
ES,2026-05-05,1987685,140585,546460,126440,836027,7419
ES,2026-05-12,2056229,148507,580945,137266,873539,7432.25
ES,2026-05-19,2068443,164096,565650,137243,850997,7491
ES,2026-05-26,2093621,149287,607067,166194,843171,7595.75
ES,2026-06-02,2149231,159638,660370,162444,781951,7400.5
ES,2026-06-09,2203164,168247,619833,167839,851164,7435
ES,2026-06-16,2579920,157203,672723,181571,806740,7570.75
ES,2026-06-23,1980254,185058,558526,112578,868478,7401.75
ES,2026-06-30,1967167,150556,511025,127585,878976,7528.25
ES,2026-07-07,1969636,134932,496807,136033,867118,7620.25
ES,2026-07-14,1941500,135454,500456,142914,849691,7497.75
ES,2026-07-21,139493,146834,469699,148984,881849,7447.50
ES,2026-07-28,1984408,155964,453440,166101,923295,7519.25
ES,2026-08-04,2116079,206039,536038,236175,953001,7779.75
NIY,2026-04-21,33647,11195,5113,7461,7328,60045
NIY,2026-04-28,35291,10281,7160,8507,8148,59430
NIY,2026-05-05,36011,10351,8133,9517,8784,63665
NIY,2026-05-12,33674,9102,6666,8161,8751,61825
NIY,2026-05-19,35308,10542,9167,9446,7947,63335
NIY,2026-05-26,32913,9622,8685,8713,8119,66225
NIY,2026-06-02,37503,11370,9734,9759,8111,64025
NIY,2026-06-09,43323,9693,11702,10277,8330,67270
NIY,2026-06-16,25343,7506,11699,4154,9717,72070
NIY,2026-06-23,29282,7183,10670,7232,9602,69700
NIY,2026-06-30,27616,5902,4728,7993,9290,68325
